case_id,start_time,end_time,claim_value,product_group,Activity,Resource,role
103,2020-01-13T13:56:00,2020-01-13T14:07:00,13031.32, Health, Register Claim,Aria Bonilla,Claims Administrator
103,2020-01-14T13:05:00,2020-01-14T13:10:00,13031.32, Health, Analyze Claim,Korbin Miranda,Assessor
103,2020-01-14T13:14:00,2020-01-14T13:16:00,13031.32, Health, Assess Claim,Brynn Warren,Assessor
103,2020-01-14T18:54:00,2020-01-14T19:13:00,13031.32, Health, Finalize Assessment,Karter Chapman,Claims Officer
103,2020-01-16T06:16:00,2020-01-16T06:16:00,13031.32, Health, Approve Assessment,Matilda Escobar,Operations Manager
103,2020-01-16T11:26:00,2020-01-16T21:30:00,13031.32, Health, Prepare Claim Settlement,Rayna Jackson,Operations Manager
103,2020-01-19T18:57:00,2020-01-19T18:58:00,13031.32, Health, Approve Claim Settlement,Emilee Dorsey,Product Manager
103,2020-01-20T12:11:00,2020-01-20T12:11:00,13031.32, Health, Execute Claim Settlement,Katelyn Pitts,Claims Administrator
107,2020-01-13T20:04:00,2020-01-13T20:55:00,12912.95, Property, Register Claim,Dallas Melendez,Claims Administrator
107,2020-01-14T07:17:00,2020-01-14T07:24:00,12912.95, Property, Analyze Claim,Sonny Todd,Assessor
107,2020-01-14T07:29:00,2020-01-14T07:31:00,12912.95, Property, Assess Claim,Sonny Todd,Assessor
107,2020-01-16T22:29:00,2020-01-16T23:03:00,12912.95, Property, Finalize Assessment,Karter Chapman,Claims Officer
107,2020-01-19T23:44:00,2020-01-19T23:44:00,12912.95, Property, Approve Assessment,Jaslene Bean,Operations Manager
107,2020-01-20T02:21:00,2020-01-20T09:28:00,12912.95, Property, Prepare Claim Settlement,Karter Chapman,Operations Manager
107,2020-01-23T16:34:00,2020-01-23T16:35:00,12912.95, Property, Approve Claim Settlement,Rachael Tanner,Product Manager
107,2020-01-24T10:20:00,2020-01-24T10:20:00,12912.95, Property, Execute Claim Settlement,Katelyn Pitts,Claims Administrator
1080,2020-06-05T23:24:00,2020-06-05T23:38:00,13713.94, Motor, Register Claim,Jaylen Gardner,Claims Administrator
1080,2020-06-06T19:27:00,2020-06-06T19:36:00,13713.94, Motor, Analyze Claim,Korbin Miranda,Assessor
1080,2020-06-06T19:41:00,2020-06-06T19:43:00,13713.94, Motor, Assess Claim,Brynn Warren,Assessor
1080,2020-06-07T09:41:00,2020-06-07T09:52:00,13713.94, Motor, Finalize Assessment,Rayna Jackson,Claims Officer
1080,2020-06-09T00:17:00,2020-06-09T00:17:00,13713.94, Motor, Approve Assessment,Dallas Melendez,Operations Manager
1080,2020-06-09T04:20:00,2020-06-09T16:37:00,13713.94, Motor, Prepare Claim Settlement,Rayna Jackson,Operations Manager
1080,2020-06-17T08:19:00,2020-06-17T08:20:00,13713.94, Motor, Approve Claim Settlement,Dallas Melendez,Product Manager
1080,2020-06-19T23:15:00,2020-06-19T23:15:00,13713.94, Motor, Execute Claim Settlement,Giuliana Cantrell,Claims Administrator
117,2020-01-14T19:56:00,2020-01-14T20:07:00,16961.44, Property, Register Claim,Dallas Melendez,Claims Administrator
117,2020-01-15T15:15:00,2020-01-15T15:21:00,16961.44, Property, Analyze Claim,Sonny Todd,Assessor
117,2020-01-15T15:25:00,2020-01-15T15:27:00,16961.44, Property, Assess Claim,Korbin Miranda,Assessor
117,2020-01-17T00:41:00,2020-01-17T01:11:00,16961.44, Property, Finalize Assessment,Karter Chapman,Claims Officer
117,2020-01-17T15:34:00,2020-01-17T15:34:00,16961.44, Property, Approve Assessment,Bailee Barr,Operations Manager
117,2020-01-17T19:59:00,2020-01-18T09:34:00,16961.44, Property, Prepare Claim Settlement,Karter Chapman,Operations Manager
117,2020-01-22T13:29:00,2020-01-22T13:30:00,16961.44, Property, Approve Claim Settlement,Aria Bonilla,Product Manager
117,2020-01-23T21:23:00,2020-01-23T21:23:00,16961.44, Property, Execute Claim Settlement,Arturo Horton,Claims Administrator
118,2020-01-15T10:31:00,2020-01-15T11:16:00,802.39, Motor, Register Claim,Morgan Roach,Claims Administrator
118,2020-01-15T21:33:00,2020-01-15T21:40:00,802.39, Motor, Analyze Claim,Sonny Todd,Assessor
118,2020-01-15T21:45:00,2020-01-15T21:47:00,802.39, Motor, Assess Claim,Korbin Miranda,Assessor
118,2020-01-16T03:12:00,2020-01-16T03:46:00,802.39, Motor, Finalize Assessment,Rayna Jackson,Claims Officer
118,2020-01-17T02:26:00,2020-01-17T02:26:00,802.39, Motor, Approve Assessment,Mitchell Mckay,Operations Manager
118,2020-01-17T06:37:00,2020-01-17T16:00:00,802.39, Motor, Prepare Claim Settlement,Rayna Jackson,Operations Manager
